id,district,division
1,Narsingdi,Dhaka
2,Gazipur,Dhaka
3,Shariatpur,Dhaka
4,Narayanganj,Dhaka
5,Tangail,Dhaka
6,Kishoreganj,Dhaka
7,Manikganj,Dhaka
8,Dhaka,Dhaka
9,Munshiganj,Dhaka
10,Rajbari,Dhaka
11,Madaripur,Dhaka
12,Gopalganj,Dhaka
13,Faridpur,Dhaka
14,Cumilla,Chattogram
15,Feni,Chattogram
16,Brahmanbaria,Chattogram
17,Rangamati,Chattogram
18,Noakhali,Chattogram
19,Chandpur,Chattogram
20,Lakshmipur,Chattogram
21,Chattogram,Chattogram
22,Coxsbazar,Chattogram
23,Khagrachhari,Chattogram
24,Bandarban,Chattogram
25,Sirajganj,Rajshahi
26,Pabna,Rajshahi
27,Bogura,Rajshahi
28,Rajshahi,Rajshahi
29,Natore,Rajshahi
30,Joypurhat,Rajshahi
31,Chapainawabganj,Rajshahi
32,Naogaon,Rajshahi
33,Jashore,Khulna
34,Satkhira,Khulna
35,Meherpur,Khulna
36,Narail,Khulna
37,Chuadanga,Khulna
38,Kushtia,Khulna
39,Magura,Khulna
40,Khulna,Khulna
41,Bagerhat,Khulna
42,Jhenaidah,Khulna
43,Jhalakathi,Barishal
44,Patuakhali,Barishal
45,Pirojpur,Barishal
46,Barishal,Barishal
47,Bhola,Barishal
48,Barguna,Barishal
49,Panchagarh,Rangpur
50,Dinajpur,Rangpur
51,Lalmonirhat,Rangpur
52,Nilphamari,Rangpur
53,Gaibandha,Rangpur
54,Thakurgaon,Rangpur
55,Rangpur,Rangpur
56,Kurigram,Rangpur
57,Sylhet,Sylhet
58,Moulvibazar,Sylhet
59,Habiganj,Sylhet
60,Sunamganj,Sylhet
61,Sherpur,Mymensingh
62,Mymensingh,Mymensingh
63,Jamalpur,Mymensingh
64,Netrokona,Mymensingh
